"Location","pop_over_65","population"
"Burundi",252,11178
"Comoros",25,833
"Djibouti",43,958
"Eritrea",155,3452
"Ethiopia",3823,109223
"Kenya",1203,51394
"Madagascar",785,26263
"Malawi",479,18142
"Mauritius",146,1269
"Mozambique",853,29495
"Rwanda",363,12304
"Seychelles",9,98
"Somalia",432,15008
"South Sudan",373,10977
"Uganda",829,42729
"Tanzania",1465,56314
"Zambia",364,17350
"Zimbabwe",426,14440
"Angola",683,30811
"Cameroon",687,25215
"Chad",385,15479
"Congo (Brazzaville)",141,5245
"Congo (Kinshasa)",2536,84066
"Equatorial Guinea",33,1310
"Gabon",76,2121
"Sao Tome and Principe",6,210
"Botswana",95,2255
"Eswatini",46,1136
"Lesotho",103,2108
"Namibia",89,2447
"South Africa",3074,57795
"Benin",375,11487
"Burkina Faso",476,19752
"Cabo Verde",25,543
"Cote d'Ivoire",716,25067
"Gambia",58,2279
"Ghana",915,29768
"Guinea",363,12416
"Guinea-Bissau",53,1874
"Liberia",156,4819
"Mali",478,19077
"Mauritania",138,4403
"Niger",583,22442
"Nigeria",5382,195875
"Senegal",490,15855
"Sierra Leone",227,7650
"Togo",227,7890
"Algeria",2687,42231
"Egypt",5147,98424
"Libya",294,6679
"Morocco",2526,36028
"Sudan",1495,41800
"Tunisia",962,11566
"Armenia",331,2951
"Azerbaijan",617,9950
"Bahrain",39,1570
"Cyprus",164,1190
"Georgia",595,4003
"Iraq",1278,38433
"Israel",1004,8382
"Jordan",382,9963
"Kuwait",105,4137
"Lebanon",480,6862
"Oman",115,4829
"Qatar",37,2781
"Saudi Arabia",1116,33702
"West Bank and Gaza",152,4863
"Syria",763,16946
"Turkey",6985,82340
"United Arab Emirates",105,9630
"Yemen",819,28498
"Kazakhstan",1354,18319
"Kyrgyzstan",282,6303
"Tajikistan",273,9100
"Uzbekistan",1436,32478
"Afghanistan",961,37171
"Bangladesh",8324,161377
"Bhutan",45,755
"India",83593,1352643
"Iran",5059,81799
"Maldives",19,516
"Nepal",1608,28094
"Pakistan",9153,212230
"Sri Lanka",2224,21230
"Japan",35079,127202
"Mongolia",129,3170
"South Korea",7379,51171
"Brunei",20,430
"Cambodia",744,16251
"Indonesia",15677,267669
"Laos",288,7064
"Malaysia",2104,31528
"Myanmar",3107,53707
"Philippines",5463,106651
"Singapore",661,5758
"Thailand",8262,69428
"Timor-Leste",54,1267
"Vietnam",6951,95546
"Antigua and Barbuda",8,96
"Bahamas",28,385
"Barbados",46,286
"Cuba",1721,11338
"Dominican Republic",752,10627
"Grenada",11,110
"Haiti",551,11123
"Jamaica",259,2935
"Saint Lucia",18,183
"Saint Vincent and the Grenadines",11,110
"Trinidad and Tobago",150,1391
"Belize",17,382
"Costa Rica",478,5000
"El Salvador",532,6422
"Guatemala",829,17246
"Honduras",450,9589
"Mexico",9116,126192
"Nicaragua",338,6464
"Panama",338,4176
"Argentina",4932,44363
"Bolivia",817,11353
"Brazil",18690,209468
"Chile",2160,18730
"Colombia",4210,49660
"Ecuador",1224,17086
"Guyana",50,780
"Paraguay",447,6957
"Peru",2587,31991
"Suriname",40,574
"Uruguay",512,3451
"Venezuela",2100,28887
"Australia",3898,24899
"New Zealand",743,4742
"Fiji",47,881
"Papua New Guinea",297,8609
"Solomon Islands",23,652
"Vanuatu",10,290
"Samoa",10,197
"Belarus",1403,9455
"Bulgaria",1483,7050
"Czech Republic",2072,10668
"Hungary",1861,9709
"Poland",6643,37922
"Moldova",464,4050
"Romania",3577,19504
"Russia",21387,145733
"Slovakia",852,5453
"Ukraine",7272,44247
"Denmark",1139,5749
"Estonia",260,1323
"Finland",1198,5523
"Iceland",50,336
"Ireland",668,4819
"Latvia",386,1927
"Lithuania",551,2799
"Norway",912,5341
"Sweden",2002,9969
"United Kingdom",12351,67142
"Albania",396,2883
"Bosnia and Herzegovina",547,3323
"Croatia",851,4159
"Greece",2279,10523
"Italy",13793,60626
"Malta",89,440
"Montenegro",94,627
"North Macedonia",286,2085
"Portugal",2252,10255
"Serbia",1615,8802
"Slovenia",407,2078
"Spain",9050,46692
"Austria",1689,8893
"Belgium",2158,11485
"France",13021,64990
"Germany",17840,83124
"Luxembourg",85,603
"Netherlands",3276,17062
"Switzerland",1588,8526
"Canada",6389,37073
"United States",51706,327096
"China",160635,1459375
